# number of     number of    -1 for 
# observations  parameters  left truncated
0.73664  1    0.512737 0.911587 0.16892 2.13553 1.32102
4.47015  1    -0.484291 1.2505 -0.874289 0.438115 2.67086
3.13434  1    -0.781704 -0.823809 -0.398122 2.23782 1.1184
0.841966  1    -1.3503 -0.708224 -0.240993 1.2878 0.294613
1.95859  1    -0.157402 0.843904 -0.220136 1.71002 0.671249
2.58578  1    -0.970507 1.27449 0.00363461 0.649363 1.02232
4.43344  1    -0.87438 1.09718 0.747151 3.43973 0.00836696
5.47054  1    0.024098 2.50207 1.02904 0.734874 0.876606
0.301052  1    -1.55873 1.78813 -0.559091 -0.233974 0.697663
2.44022  1    -0.558033 1.12533 1.18199 1.45315 0.511903
2.10247  1    0.0242959 1.09602 -0.812233 3.26373 -0.499413
3.68884  1    -0.172528 -0.161628 -0.0708366 2.89989 0.919195
2.95177  1    -1.32693 -0.395965 -0.269663 -0.831733 1.39287
1.8509  1    -0.78963 0.576601 0.147341 2.03623 0.152181
2.24934  1    -0.234592 1.62841 1.24735 0.434992 0.5142
0.387381  1    0.909516 1.84768 -0.70302 1.16265 0.52842
2.56348  1    -0.752991 1.03204 -0.357709 1.07902 1.38761
0.855169  1    -0.561054 -0.282571 1.95118 1.72368 -0.648677
8.41469  1    -0.960366 0.659171 0.109279 -0.382553 2.56512
1.44065  1    -1.43438 0.198452 -0.188962 -0.340402 0.512538
3.50016  1    -1.1784 0.347744 1.07684 1.90726 1.19752
2.72676  1    -0.107217 1.72269 1.3278 1.29399 0.116157
3.39852  1    -0.160934 -1.2016 -0.11666 1.27519 1.26571
0.795416  1    0.19478 -0.51907 -1.0219 0.562044 1.18303
7.17845  1    -2.25958 0.85534 1.27982 0.439568 1.11309
4.54537  1    -1.36259 0.732332 0.613614 0.767275 0.334813
5.49308  1    -0.938122 1.9547 0.441286 -0.0126711 1.17504
2.94667  1    -0.510287 -1.08293 -1.66184 0.551692 1.20298
7.70437  1    -2.57982 -0.0410503 0.00478566 0.944214 0.771905
0.649093  1    0.0670709 0.389904 1.10695 -0.82514 2.07706
1.41777  1    0.997492 -0.75531 -1.04392 0.601996 1.30098
0.88017  1    -0.164427 -1.35822 -0.266792 1.28013 0.865586
1.16311  1    -1.03784 0.546957 -0.678018 0.166303 0.531152
1.989  1    -1.08272 1.74822 -2.07139 -1.02638 1.55676
1.31961  1    -0.810718 -0.278617 -0.172164 0.341454 0.641843
2.63734  1    0.0474237 0.244389 0.806962 0.559056 2.02505
0.380874  1    -0.211761 -0.525811 -1.15332 -0.162111 1.31479
0.0546664  1    -0.894955 -0.55779 0.575651 0.0797231 0.562682
3.96134  1    -0.579502 -1.30351 -1.36728 3.1762 1.2659
2.21848  1    -0.197641 -1.02211 1.2171 -0.0986134 2.95441
0.278376  1    -2.29705 0.878503 0.0782747 -0.288538 -0.27208
1.54292  1    0.483239 1.06742 -1.05426 1.62882 -0.21926
3.08436  1    -0.84901 -1.47044 -1.29588 1.9425 0.740609
4.45149  1    0.52919 2.47097 -0.707154 0.894022 1.96743
0.354632  1    -0.739557 -0.604791 -1.56227 1.11643 -0.141419
3.05387  1    -1.31339 0.462355 -1.13146 0.462481 0.773179
4.03448  1    0.440894 2.90855 0.344519 0.328693 1.50689
1.30619  1    0.465607 -0.89204 0.752308 1.03694 1.18546
3.69951  1    -0.875463 -0.78644 -0.505939 1.00853 0.366517
1.06531  1    1.60308 0.190404 0.799918 1.48085 1.47395
2.4472  1    -3.02592 0.564586 -0.36923 -0.139895 0.637162
3.16808  1    -0.809148 0.374125 1.56464 1.74183 0.46646
0.747881  1    -0.756311 -0.323821 -1.38388 -0.143254 0.256925
0.928881  1    -2.15968 -0.863792 2.36549 -0.423652 1.50177
0.969278  1    -2.1375 -1.94048 0.930917 0.915346 0.359903
0.579126  1    -1.02174 0.429996 1.19087 -1.02804 1.15428
2.65275  1    -2.04585 -0.462326 -0.726761 1.10896 -0.164445
3.24909  1    0.460824 2.18972 2.1249 0.325354 1.44403
0.885434  1    0.176327 0.48901 -1.51221 0.639465 0.825731
1.65987  1    0.87885 -0.295177 -0.656266 1.83981 0.668984
0.425221  1    0.803786 1.78062 1.06564 1.46802 1.07621
0.707465  1    -0.338939 -0.637131 -2.34241 1.09815 0.83093
0.964001  1    -0.650269 0.571839 -0.0526762 1.56516 -0.283831
0.665963  1    -0.502476 0.267668 0.180273 1.96758 0.0447843
0.0711119  1    0.228059 -1.36377 -0.159666 2.45442 0.415866
0.538887  1    -0.743695 -1.53726 -0.914993 0.440215 1.67716
0.906192  1    -0.665341 -0.157093 -2.07811 1.08131 0.279304
0.381474  1    -1.63465 -0.266838 -1.23612 -0.805136 0.711342
1.63671  1    -1.90522 0.421949 0.683032 -1.20613 1.53016
5.47872  1    -1.80977 1.70014 -0.159525 -0.461262 1.42994
3.73427  1    -1.53951 0.671647 -0.727959 -0.749047 1.28634
2.0987  1    -0.832149 -0.0123214 -1.59661 2.59785 0.407463
3.90945  1    0.303325 0.83701 0.370295 0.777411 1.34248
1.78454  1    -0.472828 0.033007 0.312102 1.29482 0.755837
3.9823  1    -1.51184 0.873975 -0.00468613 0.898552 0.385548
1.7525  1    -0.670782 1.28765 0.286754 0.928185 1.32981
4.08114  1    -0.803975 2.21772 -0.108039 -0.580812 1.10877
0.353545  1    0.873033 1.02045 -1.23298 2.27015 0.51426
4.278  1    -0.617818 0.747972 -1.42177 1.29573 1.45186
0.742384  1    -1.00939 0.568093 -0.581417 -0.465638 1.3057
1.34316  1    -1.27164 -0.686589 0.829313 0.907379 0.686919
3.0782  1    -0.311881 -1.51446 0.0632997 2.61607 0.853599
1.73946  1    -0.420478 0.404317 -0.411284 0.0773495 1.27659
4.77274  1    -1.3969 -1.21878 2.38994 -0.124342 2.37928
0.97595  1    -2.49262 -0.252494 0.761836 -0.296086 1.69455
2.37055  1    1.16585 0.609876 0.980418 0.942807 2.13597
2.08828  1    1.57465 0.0147326 1.34931 0.0615539 2.19662
0.26564  1    0.242204 0.901352 0.690439 0.573526 0.74543
0.992492  1    -0.659841 0.599482 -0.632894 0.204211 1.91532
0.167218  1    1.73583 -0.795566 1.38858 0.820952 2.80366
5.26171  1    0.421332 -0.368461 0.374881 2.10628 1.53758
3.32633  1    0.314773 0.982424 0.161895 1.83436 1.77096
1.81304  1    0.1263 0.823853 0.0144435 2.029 0.693547
5.88388  1    -2.536 1.47329 0.869814 -0.398298 1.51391
2.79983  1    -0.519393 1.20977 -0.595615 0.978452 1.21538
1.46936  1    -0.0544611 1.71534 0.0564555 2.41725 0.121036
2.93074  1    0.302884 0.8269 0.75703 1.55537 0.628026
2.0552  1    -0.27049 2.6908 -0.297143 0.911423 0.820928
1.10359  1    -1.10701 -0.339377 1.14688 0.0310279 0.912832
2.30203  1    -0.939085 -0.456141 -2.08234 1.43756 -0.205579
0.109384  1    -0.00202002 3.08483 -0.166214 0.0595742 -0.0130662
0.911842  1    -1.74414 0.886149 0.595837 -0.313967 1.00235
0.76146  1    -1.54172 0.313745 0.0862837 1.29407 0.694337
7.33843  1    -1.66449 0.062431 -0.0422944 1.08453 2.04819
0.499235  1    -0.803714 -1.24703 -0.215007 1.76944 -0.3041
4.00275  1    -1.6375 0.957287 -0.935734 -0.111927 0.950745
3.37297  1    -0.861164 1.57031 0.923218 -0.144922 0.702521
6.38528  1    -0.516901 1.48265 1.33582 -1.53234 2.53409
1.57771  1    0.552382 2.12845 0.741445 1.45311 0.939526
0.938525  1    -0.334917 2.12152 -0.0655206 -0.825307 1.13189
2.36472  1    -1.08339 -0.414784 -1.63628 0.189008 1.14351
0.0537768  1    0.44477 0.0949148 -2.64845 1.47521 1.0116
0.663949  1    -0.887269 1.28152 -0.132682 0.952523 0.349389
1.29551  1    -0.365401 0.37554 -0.494558 1.54167 0.473449
0.0496656  1    -1.96705 0.812835 -0.30313 -0.0434066 -0.282537
3.66383  1    -0.663234 -0.282395 -1.75852 -0.570155 1.74419
1.68999  1    0.26219 -0.257715 0.200873 -0.582742 3.16411
1.11302  1    -1.07614 -0.142589 -0.234715 -0.338955 2.07662
0.393686  1    0.00303839 1.99278 -0.396625 -0.627622 -0.305929
1.85295  1    -0.223723 2.14839 -1.29943 -0.605141 0.890504
0.98218  1    -0.9268 -0.603473 0.320553 0.00117054 1.0646
4.66067  1    -0.663933 2.0811 -0.0909531 0.998626 1.09367
3.44992  1    -1.66337 0.167969 0.124284 1.25183 0.832453
1.9352  1    -0.769634 0.136695 0.163331 0.243537 1.98955
1.35874  1    0.120641 -0.795674 -2.0744 0.403051 2.21149
1.70457  1    -0.484199 0.388649 -0.554301 -0.880454 2.00903
3.08349  1    -0.75864 -0.217499 -0.220938 2.20351 0.702856
3.74781  1    -0.633416 0.413404 -0.575794 0.587959 1.22005
1.26813  1    -1.45346 0.152141 -0.746733 0.835549 1.26099
0.721667  1    0.501064 -0.170429 -0.325608 -0.0549803 2.38806
0.220992  1    -0.894229 1.13722 -1.921 0.325266 -0.207272
0.410644  1    0.353584 -0.409365 0.270549 0.834375 0.498674
0.625424  1    0.522947 1.47418 -0.227268 1.00464 -0.0440255
3.87253  1    -0.29801 0.861137 1.21543 -1.48758 2.1986
1.04293  1    1.08795 -0.902289 -0.904215 0.884059 2.4595
0.39376  1    -0.833654 0.975163 -0.755885 0.507964 0.122254
0.0669671  1    -1.59621 0.764414 0.0234019 -0.356332 0.00755052
0.0737593  1    0.159587 0.222843 -0.172978 -0.308004 1.19112
3.37262  1    -1.60264 -1.34958 0.550878 2.23255 1.34943
1.45085  1    -1.3756 0.548777 -0.630114 0.309258 0.66013
1.23165  1    0.656493 2.99896 -0.293112 0.0900183 1.13424
2.70705  1    -0.711805 1.17974 -1.34568 0.514446 -0.439946
3.62577  1    -1.77171 0.297513 -0.454856 0.0426282 1.56284
0.234039  1    -1.17025 1.17669 1.4552 0.627729 -0.277212
1.01264  1    -1.40614 2.02036 -1.47808 -0.188452 0.233653
1.62678  1    -1.05038 0.77274 -0.354073 -0.685953 0.589284
3.07486  1    -0.75588 1.88035 -0.15226 -0.946477 0.956426
0.303074  1    0.167257 0.736359 1.33224 1.26917 -0.0466958
2.60265  1    -0.94631 -0.99468 -1.64407 0.661759 1.55595
0.667806  1    -0.893546 0.728267 0.83969 0.00995381 0.521215
0.156354  1    -0.475613 -1.47667 0.23783 -1.12558 1.8092
5.00525  1    -0.558483 0.844629 0.0125758 0.332033 1.67414
4.9217  1    0.141124 0.350964 0.169122 0.962964 1.41289
0.273828  1    -0.106655 1.35817 0.445162 0.681786 0.688568
2.84946  1    -1.40528 0.826375 -0.503512 -1.91552 2.43544
2.56999  1    -0.372098 2.03921 -0.551907 0.365964 0.859824
2.19635  1    -2.04883 0.646873 2.08315 0.194597 0.162316
0.763185  1    0.703307 -0.75048 -2.04474 -0.887589 2.4459
1.90604  1    -0.866334 0.464377 -1.05284 -0.967419 1.88662
3.80581  1    -0.92299 -0.119133 1.13252 1.10369 0.704162
5.44341  1    -2.23412 -0.808391 0.465567 1.56972 0.757989
6.37932  1    -0.226783 0.0807511 0.25479 0.231977 2.05516
0.800699  1    -1.55643 -0.315288 0.0953146 -0.491065 0.10449
4.51574  1    -0.62638 1.0024 -0.480048 0.796562 1.45373
0.452656  1    -0.128549 1.21992 -0.290394 1.70618 0.241825
0.188806  1    -0.556573 -0.452246 0.324771 1.84125 1.19846
3.77705  1    -1.15415 0.830348 0.17644 2.15861 0.591492
1.7214  1    -0.0752819 -0.311636 -1.01034 1.34567 1.39328
1.84315  1    -0.900323 -1.10199 -0.14444 1.49778 1.673
0.423773  1    0.584324 -1.34051 -1.03713 0.68013 1.94792
1.48546  1    -0.32548 -0.46393 -1.3015 -0.205192 0.852452
0.480523  1    -0.889776 -0.429485 -1.56674 0.641483 0.621493
0.929481  1    -0.435296 1.67569 -2.36115 0.373923 -0.142015
0.910998  1    -0.152798 -0.168098 -0.799929 0.369211 1.67773
0.413913  1    -0.6586 0.226219 -0.235044 -0.432063 1.29931
7.35077  1    -1.05407 1.41821 0.138217 -0.36419 1.50247
6.64799  1    -0.774946 -0.401694 -0.537137 0.774671 2.24512
4.222  1    0.27219 0.471833 -0.876174 1.59176 2.61576
0.486513  1    -0.150905 -1.10638 -0.873196 3.08576 0.57935
3.15134  1    -2.38386 0.594633 -0.784001 -1.11256 1.42633
1.82035  1    -0.600785 -1.9882 -0.397698 1.73944 1.97011
6.09275  1    -1.58161 -0.618034 -0.974494 1.4467 2.22194
0.354944  1    -2.05464 0.367646 -1.2984 -0.859228 0.102968
2.74883  1    -1.86552 0.204634 1.22947 0.380674 0.652798
8.72968  1    -1.69012 0.57967 1.88406 2.43231 0.664986
5.72058  1    -0.0599594 0.347053 -0.558892 2.72679 1.72181
0.158579  1    -0.684401 0.983261 0.618672 -0.560977 0.28759
7.41574  1    -0.128294 2.02003 -0.337219 2.05589 1.66158
0.246484  1    0.643896 1.12039 0.144538 -1.26764 2.32034
1.27999  1    0.516293 -0.0664296 -0.015297 1.04341 0.782382
0.219346  1    0.381996 -0.660557 0.889757 0.169272 0.477957
1.0578  1    -1.35842 1.00778 1.07008 0.159747 -0.0348386
4.15381  1    -0.715119 0.255018 -0.36434 -1.08188 2.17755
1.18751  1    0.434582 1.39327 -0.40545 0.875464 1.09775
3.70757  1    -0.335521 0.867221 0.729882 -0.32741 1.56378
0.796561  1    -1.30573 -0.105906 1.2265 1.83853 0.0780116
0.614614  1    -0.297733 0.75445 -1.16341 1.72093 0.721359
3.46757  1    -1.4261 1.46753 -0.0299935 0.306784 0.0415993
0.0397265  1    -0.880711 -0.744286 1.88955 0.763844 0.432002
1.2372  1    -2.00603 0.25777 -0.260581 -0.5193 1.09542
0.74889  1    -1.99904 -0.563796 0.810865 -0.530047 0.447497
2.95793  1    -1.38161 0.230834 -1.39999 -0.168483 0.994028
1.1751  1    -0.555463 0.36551 -1.49169 1.32484 0.362744
9.35336  1    -0.924965 2.0571 -1.317 1.22814 1.45755
2.11533  1    -1.04538 1.20123 -0.672334 1.88679 -0.456223
3.64765  1    -1.0618 -0.0307373 -0.856378 0.657381 2.09792
2.27839  1    -0.551603 0.0160574 -0.252117 0.196241 1.33489
3.29172  1    -0.219385 0.550318 -0.369007 -0.28812 1.15614
1.59995  1    -1.62338 0.476509 -1.07812 1.85426 -0.356905
0.928574  1    -0.138874 1.27558 0.302683 0.825583 1.12024
3.46541  1    -0.171548 0.348511 -0.997692 -0.868017 2.16171
0.0987036  1    -1.27977 0.600939 0.241508 0.979317 0.615873
0.746474  1    0.426876 0.996155 0.896422 0.81164 0.378006
1.4146  1    1.20332 0.702247 0.0521153 0.479828 1.69581
1.38339  1    -0.289825 0.0724193 1.44433 0.059327 1.26919
0.590728  1    -2.19968 0.723598 -0.697024 0.850304 -0.822635
0.412054  1    -0.873485 -0.0208171 -1.52396 -0.167562 1.53364
0.444438  1    -1.68144 0.121871 -0.404833 -1.56453 1.43787
0.908392  1    -0.615664 -1.87436 0.523391 2.04139 0.219828
1.48459  1    -1.3075 -0.697769 -0.187983 -0.609249 1.55275
1.07869  1    -1.05599 -1.0394 0.336235 0.0574152 0.76624
6.29717  1    -0.668326 0.386295 -0.0710797 1.36989 0.654547
2.24205  1    -0.218786 0.22845 -1.18473 2.95033 0.418727
0.0100449  1    -0.128205 0.306301 1.68301 1.46407 1.29055
0.936298  1    -0.641721 -0.363501 -0.11084 1.21874 0.888875
2.56308  1    -0.946554 -0.680984 0.00252458 1.4723 -0.181757
2.13037  1    0.89782 -0.335047 1.88599 1.06669 1.89208
2.19166  1    -1.05179 -1.07658 2.73677 -0.269688 1.98528
0.524887  1    -0.646255 1.12366 -0.0278021 -0.129112 1.28962
0.537644  1    -2.32131 0.273905 0.26892 0.690573 0.866686
0.838791  1    -0.268808 0.129896 0.904 0.0258531 1.66975
0.314054  1    -0.562646 0.177477 0.382564 0.174966 0.789821
0.576508  1    0.0831514 1.25388 0.347242 0.0260725 0.15555
2.21885  1    0.329605 0.968946 -0.68701 0.63883 0.804966
0.722774  1    0.452705 -0.545685 -0.682262 0.535728 0.804741
3.45156  1    -0.140455 0.435749 0.463894 2.42548 1.6311
0.58835  1    0.556962 1.52828 1.28182 -0.328893 0.726398
8.9066  1    -1.26612 0.897349 -0.0575211 0.760758 1.89379
9.93286  1    -2.57941 0.716449 0.776365 2.15819 0.492864
2.32893  1    -0.0873295 -0.271516 0.81264 0.679177 1.53008
4.18727  1    0.845983 1.94912 -0.748357 0.0645226 2.31648
0.740437  1    0.549555 1.37269 -0.399736 0.90323 -0.237979
3.73719  1    -1.00882 -0.644827 -0.678616 2.42724 0.827124
5.93492  1    1.39408 -0.20774 -0.539777 1.95899 2.57891
1.50213  1    0.356467 0.706064 -0.713864 0.299945 1.51908
0.0869404  1    -1.88499 -0.244648 1.8415 -0.641905 -0.0246578
3.76173  1    -2.78127 0.62399 0.185824 1.15768 -0.823996
2.18421  1    0.694878 0.799966 0.522976 2.58306 -0.478218
3.07821  1    -0.822161 -0.368471 -0.415147 -0.375985 1.5473
4.58306  1    -0.0824011 1.20497 1.99288 0.890024 1.09038
0.230823  1    -0.671763 -0.133802 -0.376204 0.287533 0.240752
2.61886  1    1.09243 0.240489 -1.57569 1.75044 1.61577
1.75462  1    -0.827539 2.09851 1.2119 2.3442 -0.259364
1.27563  1    -1.59082 -0.38037 -0.735096 0.0880817 0.792139
1.73984  1    -0.891556 0.0645713 -1.3823 0.0885106 0.496681
4.78476  1    1.13409 1.78504 -0.195083 0.190689 2.11432
7.30629  1    -0.0996997 0.551219 1.13522 1.65171 2.12469
3.11162  1    -0.175032 1.10749 -1.23574 0.361694 1.23413
1.49626  1    -1.09637 -0.220072 1.2861 1.64111 -0.13848
0.909672  1    -0.0839996 0.477492 -0.480502 -0.299124 0.118769
0.38133  1    -0.560464 0.0714539 0.196655 0.43824 0.320958
4.98992  1    -0.633365 1.23331 -0.155912 0.583483 2.02062
0.903649  1    0.322828 0.540704 0.647707 -0.209228 1.17677
0.801191  1    0.0999796 -0.735115 0.652512 1.8869 1.16173
0.0851462  1    -0.587957 -0.599088 0.334647 -0.474708 2.08374
0.750383  1    0.149792 0.0227272 1.28786 1.88652 0.41727
2.25411  1    -1.0009 -0.656951 0.219185 0.309945 1.24286
2.63503  1    -0.0532652 1.89822 0.395066 1.49029 1.45091
1.80553  1    -0.486539 0.452388 -0.0885226 0.422695 0.383893
2.51328  1    -1.56021 0.243154 -1.39862 -1.02682 1.30327
0.0590407  1    -2.02832 0.223989 0.401041 -0.658869 0.109914
0.00567914  1    -1.52499 0.400132 1.01485 -0.521323 1.05063
2.81899  1    -0.609439 -1.32948 -1.89283 1.94881 1.034
0.432639  1    -0.766558 0.295865 -1.81149 0.540023 1.14427
1.73419  1    -0.179589 -0.930941 -1.55322 0.739138 0.959124
0.501202  1    0.223982 0.943545 -0.0783433 1.33032 -0.196581
4.30153  1    -1.03434 1.28458 0.222356 0.0763084 0.873961
0.619473  1    0.150565 -0.688852 -0.835528 0.206321 1.09787
3.05525  1    1.00266 0.231844 0.219666 1.09917 2.12064
0.1964  1    -0.537629 -0.385174 -0.342942 -0.166982 1.88497
1.96611  1    -0.475543 -1.59564 0.968406 1.4565 1.5985
1.03122  1    -0.742121 -0.155981 -0.138516 0.96846 0.707177
5.1649  1    -1.15003 0.216366 -0.000807052 1.20051 1.8309
0.872334  1    -0.42663 1.54454 0.832273 0.0597002 1.24574
4.55132  1    -0.00270125 1.17694 0.382717 -0.146639 1.74167
0.661218  1    -0.857907 1.69597 -1.34301 2.30944 -0.833541
8.00723  1    -1.95126 0.633979 -0.874694 2.04606 1.50801
0.0249877  1    -0.133955 0.0645079 0.216163 0.491884 1.79795
3.69186  1    -0.171811 -0.453751 0.42545 0.151259 2.34492
0.607173  1    -0.660659 -0.834118 -1.1118 -0.702245 1.1809
0.639006  1    -0.35631 0.787751 -0.382696 2.53344 0.94554
10.2775  1    -4.09443 -0.0663371 -0.0904636 0.109571 1.34292
0.127394  1    -1.21863 -0.0181407 -1.26363 -1.60084 0.584756
0.243401  1    -0.284537 -1.10418 -0.492571 0.398021 0.678407
0.0128423  1    -1.41501 0.0943849 1.5502 0.909104 0.101093
0.0049179  1    -1.68666 1.29679 -0.68767 0.927051 -0.577375
0.347482  1    -1.76615 1.43161 0.378629 0.505914 0.0498364
5.56892  1    -0.760431 0.2903 1.58519 1.05284 2.26402
0.862815  1    -1.07334 0.994204 0.852759 0.193446 1.58069
4.34232  1    -0.359521 0.326009 -2.93444 0.738077 1.69817
4.02489  1    -0.956323 0.981094 0.133691 0.74079 0.436498
1.20932  1    -0.229533 -0.488001 0.302391 1.23753 0.584625
3.18534  1    0.493693 0.0640238 0.030707 1.08986 0.622299
1.50922  1    -0.0505063 0.395506 -1.46041 0.931486 0.893272
0.232545  1    0.874412 0.751604 -1.68608 1.11094 0.846351
1.63164  1    -1.59395 1.98336 -0.0784047 0.201472 0.50442
1.68468  1    0.0608805 0.265949 -1.28782 1.06942 0.598095
6.23448  1    -1.19366 0.697995 -0.950253 0.713895 0.785325
2.74202  1    -2.55179 -0.204125 0.995452 0.814921 -0.304192
6.28021  1    -0.484772 1.2891 -0.250973 0.81148 1.83221
5.72357  1    -0.108284 1.16565 -0.386995 2.38829 0.559571
0.639963  1    -1.11582 0.139135 0.314838 0.449304 0.197541
3.34364  1    -1.0134 -0.762397 -0.63396 0.335486 2.22337
1.83755  1    0.2026 0.433454 0.388764 1.7571 0.828252
1.09041  1    -2.10599 1.27125 -0.191922 1.35525 -0.293722
